no,gender,age,height,weight,bmi,season,preference,sensitivity,environment,date,time,room,thermal sensation,thermal comfort ,thermal preference,ta,hr,griffith
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,10:00:00,5,1.8,0.0,1.0,23.5,19.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,10:30:00,5,1.5,1.0,1.0,23.8,19.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,11:00:00,5,1.0,1.0,1.0,24.0,19.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,11:30:00,5,1.2,1.0,1.0,24.1,20.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,12:00:00,5,1.0,1.0,1.0,24.2,20.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,14:30:00,5,2.0,0.0,1.0,23.9,18.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,15:00:00,5,0.7,1.0,1.0,24.5,18.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,15:30:00,5,0.0,1.0,2.0,25.1,18.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,16:00:00,5,0.0,1.0,2.0,25.0,19.9,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,16:30:00,5,0.1,1.0,2.0,24.9,20.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,17:00:00,5,0.0,1.0,2.0,24.9,20.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,17:30:00,5,-0.1,1.0,2.0,24.8,20.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,9:00:00,5,1.0,1.0,1.0,22.8,16.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/16,9:30:00,5,2.0,0.0,1.0,23.2,18.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,10:00:00,6,-0.3,1.0,3.0,22.0,17.5,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,10:30:00,6,0.0,1.0,2.0,22.3,16.9,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,11:00:00,6,0.0,1.0,2.0,25.3,14.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,11:30:00,6,0.0,1.0,2.0,25.8,13.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,12:00:00,6,0.0,1.0,2.0,26.3,13.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,14:30:00,6,1.0,0.0,1.0,27.3,11.6,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,15:00:00,6,0.5,1.0,1.0,25.5,13.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,15:30:00,6,0.2,1.0,1.0,25.3,14.2,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,16:00:00,6,0.0,1.0,2.0,25.4,14.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,16:30:00,6,0.0,1.0,2.0,25.3,14.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,17:00:00,6,0.0,1.0,2.0,25.2,14.6,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,17:30:00,6,0.2,1.0,1.0,24.9,14.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,9:00:00,6,-0.5,1.0,3.0,20.9,15.7,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/17,9:30:00,6,0.0,1.0,2.0,21.4,17.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,10:00:00,5,0.0,1.0,2.0,23.1,17.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,10:30:00,5,0.8,0.0,1.0,23.3,17.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,11:00:00,5,0.0,1.0,2.0,24.4,16.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,11:30:00,5,0.0,1.0,2.0,24.8,16.8,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,14:30:00,5,1.0,0.0,1.0,25.8,14.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,15:00:00,5,0.6,0.0,1.0,25.4,16.3,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,15:30:00,5,0.2,1.0,1.0,25.3,17.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,16:00:00,5,0.0,1.0,2.0,25.2,18.1,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,16:30:00,5,0.0,1.0,2.0,25.1,18.0,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,17:00:00,5,0.0,1.0,2.0,25.1,18.4,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,17:30:00,5,0.0,1.0,2.0,25.0,18.9,-0.06
1,1,23,173.0,71.4,23.86,winter,-1,0,1,2021/1/18,9:30:00,5,-0.2,1.0,3.0,22.9,16.7,-0.06
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,09:00:00,5,-2.1,0.0,1.0,23.7,58.9,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,09:30:00,5,-1.7,0.0,1.0,24.0,57.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,10:00:00,5,-2.0,0.0,1.0,25.4,53.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,10:30:00,5,-1.8,0.0,1.0,25.4,51.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,11:00:00,5,-1.5,1.0,1.0,25.6,51.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,11:30:00,5,-1.0,1.0,0.0,25.5,50.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/21,12:00:00,5,-1.0,1.0,0.0,25.4,49.5,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,09:00:00,5,-0.5,1.0,0.0,24.4,59.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,09:30:00,5,-0.2,1.0,0.0,24.6,59.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,10:00:00,5,-0.3,1.0,0.0,24.6,59.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,10:30:00,5,-0.5,1.0,0.0,24.7,59.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,11:00:00,5,-0.2,1.0,0.0,25.3,60.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,11:30:00,5,-0.2,1.0,0.0,25.6,59.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,12:00:00,5,0.0,1.0,0.0,25.8,59.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,14:30:00,5,0.6,0.0,-1.0,25.9,59.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,15:00:00,5,1.0,0.0,-1.0,26.3,59.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,15:30:00,5,1.0,0.0,-1.0,26.4,59.7,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,16:00:00,5,0.6,0.0,-1.0,26.8,60.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,16:30:00,5,1.0,0.0,-1.0,27.0,60.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,17:00:00,5,0.7,1.0,-1.0,27.0,60.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,17:30:00,5,0.0,1.0,-1.0,26.9,60.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/22,18:00:00,5,0.3,1.0,-1.0,26.9,61.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,09:00:00,5,-0.5,1.0,0.0,24.2,62.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,09:30:00,5,-0.2,1.0,0.0,25.1,60.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,10:00:00,5,-0.4,1.0,0.0,25.9,57.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,10:30:00,5,-0.6,1.0,0.0,26.2,55.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,11:00:00,5,-0.4,1.0,0.0,26.3,54.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,11:30:00,5,-0.2,1.0,0.0,26.4,53.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,12:00:00,5,-0.1,1.0,0.0,26.3,54.5,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,14:30:00,5,1.0,0.0,-1.0,27.4,56.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,15:00:00,5,1.3,0.0,-1.0,27.5,58.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,15:30:00,5,1.6,0.0,-1.0,27.4,59.7,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,16:00:00,5,1.4,0.0,-1.0,27.3,60.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,16:30:00,5,1.5,0.0,-1.0,27.0,58.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,17:00:00,5,1.6,0.0,-1.0,26.9,57.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,17:30:00,5,1.0,0.0,-1.0,26.8,56.9,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/23,18:00:00,5,0.2,1.0,0.0,26.7,56.5,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,09:00:00,5,-0.8,1.0,0.0,23.7,53.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,09:30:00,5,-1.0,1.0,0.0,23.9,54.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,10:00:00,5,-1.2,1.0,0.0,24.0,54.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,10:30:00,5,-1.0,1.0,0.0,24.0,53.7,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,11:00:00,5,-0.8,1.0,0.0,24.1,53.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,11:30:00,5,-0.2,1.0,0.0,25.4,54.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,12:00:00,5,-0.1,1.0,0.0,25.7,55.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,14:30:00,5,0.0,1.0,-1.0,25.6,60.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,15:00:00,5,0.3,1.0,-1.0,26.1,60.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,15:30:00,5,0.8,1.0,-1.0,26.4,60.7,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,16:00:00,5,0.7,1.0,-1.0,26.6,61.9,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,16:30:00,5,0.9,0.0,-1.0,26.9,61.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,17:00:00,5,0.9,0.0,-1.0,27.1,61.0,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,17:30:00,5,0.9,0.0,-1.0,27.2,60.9,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/24,18:00:00,5,0.9,0.0,-1.0,27.2,60.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,09:00:00,6,1.2,0.0,-1.0,27.6,62.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,09:30:00,6,1.3,0.0,-1.0,27.9,62.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,10:00:00,6,1.1,0.0,-1.0,28.1,61.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,10:30:00,6,1.3,0.0,-1.0,28.3,61.5,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,11:00:00,6,1.0,0.0,-1.0,27.9,62.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,11:30:00,6,1.2,0.0,-1.0,27.8,62.1,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,12:00:00,6,0.7,0.0,-1.0,27.7,62.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,14:30:00,6,0.0,1.0,0.0,26.7,61.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,15:00:00,6,-0.2,1.0,0.0,25.8,66.5,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,15:30:00,6,-0.5,1.0,0.0,25.5,65.4,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,16:00:00,6,-0.7,1.0,0.0,25.0,63.3,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,16:30:00,6,-1.0,1.0,0.0,24.8,62.8,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,17:00:00,6,-1.4,1.0,0.0,25.0,66.6,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,17:30:00,6,-1.6,1.0,0.0,24.8,67.2,1.02
2,1,21,176.0,56.0,18.08,summer,0,2,-1,2021/7/26,18:00:00,6,-2.2,0.0,1.0,24.5,69.3,1.02
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,10:00:00,5,-0.5,1.0,2.0,22.9,16.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,10:30:00,5,0.5,1.0,2.0,24.0,16.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,11:00:00,5,0.8,1.0,2.0,24.6,16.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,11:30:00,5,0.9,1.0,2.0,24.9,16.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,12:00:00,5,1.2,1.0,1.0,25.0,16.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,14:30:00,5,1.0,1.0,2.0,25.3,13.6,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,15:00:00,5,1.2,1.0,1.0,25.4,14.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,15:30:00,5,0.5,1.0,2.0,25.7,15.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,16:00:00,5,0.0,1.0,2.0,25.3,15.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,16:30:00,5,0.0,1.0,2.0,25.0,16.5,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,17:00:00,5,0.0,1.0,2.0,24.9,16.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,17:30:00,5,-0.2,1.0,2.0,24.7,16.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,9:00:00,5,-0.5,1.0,2.0,22.2,15.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/10,9:30:00,5,-0.5,1.0,2.0,22.6,16.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,10:00:00,5,0.5,1.0,2.0,22.9,16.6,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,10:30:00,5,0.8,1.0,2.0,23.7,16.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,11:00:00,5,0.7,1.0,2.0,24.3,16.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,11:30:00,5,0.7,1.0,2.0,24.8,16.5,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,12:00:00,5,0.6,1.0,2.0,25.1,16.5,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,14:30:00,5,1.5,1.0,1.0,25.6,14.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,15:00:00,5,2.0,0.0,1.0,25.8,15.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,15:30:00,5,0.5,1.0,2.0,25.9,16.0,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,16:00:00,5,0.5,1.0,2.0,25.6,17.0,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,16:30:00,5,0.0,1.0,2.0,25.4,17.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,17:00:00,5,0.0,1.0,2.0,25.3,18.0,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,17:30:00,5,0.0,1.0,2.0,25.2,18.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,9:00:00,5,0.0,1.0,2.0,22.2,15.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/13,9:30:00,5,0.0,1.0,2.0,22.6,16.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,10:00:00,5,0.0,1.0,2.0,23.5,19.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,10:30:00,5,0.0,1.0,2.0,23.8,19.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,11:00:00,5,0.2,1.0,2.0,24.0,19.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,11:30:00,5,0.1,1.0,2.0,24.1,20.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,12:00:00,5,0.1,1.0,2.0,24.2,20.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,14:30:00,5,0.0,1.0,2.0,23.9,18.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,15:00:00,5,1.5,0.0,1.0,24.5,18.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,15:30:00,5,2.0,0.0,1.0,25.1,18.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,16:00:00,5,1.0,0.0,1.0,25.0,19.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,16:30:00,5,0.3,1.0,2.0,24.9,20.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,17:00:00,5,0.3,1.0,2.0,24.9,20.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,17:30:00,5,0.0,1.0,2.0,24.8,20.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,9:00:00,5,0.0,1.0,2.0,22.8,16.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/16,9:30:00,5,0.0,1.0,2.0,23.2,18.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,10:00:00,5,-0.2,1.0,2.0,22.8,14.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,10:30:00,5,-0.2,1.0,2.0,23.1,14.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,11:00:00,5,0.5,1.0,2.0,24.1,14.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,11:30:00,5,0.5,1.0,2.0,24.6,14.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,12:00:00,5,0.6,1.0,2.0,25.0,13.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,14:30:00,5,1.0,1.0,1.0,25.8,13.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,15:00:00,5,1.0,1.0,1.0,25.4,14.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,15:30:00,5,0.8,1.0,2.0,25.2,14.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,16:00:00,5,0.8,1.0,2.0,25.2,15.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,16:30:00,5,0.7,1.0,2.0,25.1,15.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,17:00:00,5,0.5,1.0,2.0,25.1,16.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,17:30:00,5,0.4,1.0,2.0,25.0,16.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,9:00:00,5,0.0,1.0,2.0,21.9,11.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/17,9:30:00,5,0.0,1.0,2.0,22.5,13.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,10:00:00,6,0.0,1.0,2.0,22.3,17.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,10:30:00,6,0.0,1.0,2.0,22.6,17.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,11:00:00,6,0.0,1.0,2.0,25.6,15.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,11:30:00,6,0.5,1.0,2.0,26.3,15.0,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,12:00:00,6,0.5,1.0,2.0,26.7,14.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,14:30:00,6,0.5,1.0,1.0,25.0,15.6,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,15:00:00,6,1.0,1.0,2.0,25.1,16.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,15:30:00,6,0.8,1.0,2.0,25.4,16.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,16:00:00,6,0.7,1.0,2.0,25.5,17.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,16:30:00,6,0.7,1.0,2.0,25.6,17.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,17:00:00,6,0.6,1.0,2.0,25.4,17.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,17:30:00,6,0.6,1.0,2.0,25.2,17.7,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,9:00:00,6,0.0,1.0,2.0,21.4,15.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/18,9:30:00,6,0.0,1.0,2.0,22.0,16.5,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,10:00:00,5,0.0,1.0,2.0,22.5,15.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,10:30:00,5,0.5,1.0,2.0,23.2,14.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,11:00:00,5,0.5,1.0,2.0,23.9,14.4,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,11:30:00,5,0.5,1.0,2.0,24.4,14.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,12:00:00,5,0.0,1.0,2.0,24.8,14.3,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,14:30:00,5,0.5,1.0,2.0,24.9,13.5,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,15:00:00,5,1.0,1.0,1.0,25.2,14.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,15:30:00,5,0.0,1.0,2.0,24.8,14.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,16:00:00,5,0.0,1.0,2.0,24.5,15.5,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,16:30:00,5,-0.5,1.0,2.0,24.3,15.8,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,17:00:00,5,0.0,1.0,2.0,24.4,16.1,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,17:30:00,5,-0.5,1.0,2.0,24.4,16.2,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,9:00:00,5,-1.0,1.0,3.0,21.5,13.9,1.28
3,1,23,173.0,85.0,28.4,winter,-1,0,0,2021/1/9,9:30:00,5,-1.0,1.0,3.0,22.0,14.8,1.28
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,09:00:00,5,1.0,1.0,-1.0,27.9,56.4,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,09:30:00,5,3.0,0.0,-1.0,28.1,58.7,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,10:00:00,5,3.0,0.0,-1.0,28.4,59.9,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,10:30:00,5,2.0,1.0,-1.0,28.4,61.5,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,11:00:00,5,1.0,1.0,-1.0,27.5,63.3,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,11:30:00,5,1.0,1.0,-1.0,27.3,62.6,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,12:00:00,5,1.0,1.0,-1.0,27.1,61.8,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,14:30:00,5,0.5,1.0,-1.0,26.2,62.0,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,15:00:00,5,1.5,1.0,-1.0,26.8,60.6,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,16:00:00,5,0.5,1.0,-1.0,25.2,62.2,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,16:30:00,5,1.0,1.0,-1.0,24.7,58.5,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,17:00:00,5,0.5,1.0,-1.0,24.7,58.2,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,17:30:00,5,0.0,1.0,0.0,24.5,56.8,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/20,18:00:00,5,0.0,1.0,0.0,25.0,55.4,0.96
4,1,24,183.0,80.0,23.89,summer,1,1,1,2021/7/21,09:00:00,5,-0.5,1.0,1.0,23.7,58.9,0.96
